company_id,latest_year,start_year,start_eps,end_eps,actual_years,eps_cagr_3yr_pct,eps_cagr_5yr_pct,eps_cagr_10yr_pct
ABB,2024.0,2021.0,325.0,565.0,3.0,20.24167817921956,21.65851677781967,19.772344260550724
ADANIENSOL,2024.0,2021.0,11.0,10.0,3.0,-3.1270693848535758,14.869835499703509,
ADANIENT,2024.0,2021.0,8.0,28.0,3.0,51.82944859378311,31.95079107728942,3.4219694129380196
ADANIGREEN,2024.0,2021.0,1.0,7.0,3.0,91.29311827723889,,
ADANIPORTS,2024.0,2021.0,25.0,38.0,3.0,14.977941578896626,14.869835499703509,16.860936130231472
ADANIPOWER,2024.0,2021.0,3.0,54.0,3.0,162.07413942088965,,
AMBUJACEM,2024.0,2021.0,14.0,16.0,3.0,4.551591714942038,7.781806771272581,4.812238946895775
APOLLOHOSP,2024.0,2021.0,10.0,63.0,3.0,84.69147504478333,29.95061094416296,10.60156477390728
ASIANPAINT,2024.0,2021.0,33.0,57.0,3.0,19.983162620797668,20.973552688431262,15.929283130870008
AXISBANK,2024.0,2021.0,22.0,81.0,3.0,54.414274760026785,35.09600385206135,12.034341816031823
BAJAJ-AUTO,2024.0,2021.0,168.0,276.0,3.0,17.995813862247644,10.177276348465591,8.961311524418347
BAJAJFINSV,2024.0,2021.0,28.0,51.0,3.0,22.124851391248356,20.589095060661244,17.69473018226546
BAJAJHLDNG,2024.0,2021.0,328.0,653.0,3.0,25.799750331593962,18.96864732798973,13.81670668377948
BAJFINANCE,2024.0,2021.0,73.0,233.0,3.0,47.23498631055778,27.5561392815338,
BANKBARODA,2024.0,2021.0,3.0,36.0,3.0,128.94284851066638,55.18455739153598,4.582126078713333
BEL,2024.0,2021.0,3.0,5.0,3.0,18.56311014966876,10.756634324829006,17.461894308801895
BHARTIARTL,,,,,,,67.02776523348103,10.026509310601806
BHEL,,,,,,,-19.72584382397693,-20.567176527571853
BOSCHLTD,2024.0,2021.0,164.0,844.0,3.0,72.64984767834024,9.261870727688626,10.479375984763962
BPCL,2024.0,2021.0,37.0,62.0,3.0,18.776353612992548,28.063048802615654,21.28718543006496
BRITANNIA,2024.0,2021.0,77.0,89.0,3.0,4.946129761743845,13.14353769849137,18.720851381956226
CANBK,2024.0,2021.0,4.0,17.0,3.0,61.980590063874175,53.4206382524911,5.449589185476622
CHOLAFIN,2024.0,2021.0,19.0,41.0,3.0,29.2240709727595,22.275238764557947,23.418818693862285
CIPLA,2024.0,2021.0,30.0,51.0,3.0,19.348319192733697,21.832544608565986,11.612317403390438
COALINDIA,2024.0,2021.0,21.0,61.0,3.0,42.6823258428825,16.851518569430034,9.777126683205474
DABUR,2024.0,2021.0,10.0,10.0,3.0,0.0,4.563955259127317,7.177346253629313
DIVISLAB,2024.0,2021.0,75.0,60.0,3.0,-7.168223327744416,3.303780411393231,7.541310687238512
