company_id,year,previous_pattern,capital_allocation_pattern,pattern_changed
ABB,Mar 2014,Positive FCF + CapEx,Negative FCF,True
ABB,Mar 2015,Negative FCF,Positive FCF + CapEx,True
ABB,Mar 2015,Positive FCF + CapEx,Negative FCF + CapEx,True
ABB,Mar 2016,Negative FCF + CapEx,Positive FCF + CapEx,True
ABB,Mar 2018,Positive FCF + CapEx,Negative FCF + CapEx,True
ABB,Mar 2019,Negative FCF + CapEx,Positive FCF + CapEx,True
ABB,Mar 2019,Positive FCF + CapEx,Negative FCF + CapEx,True
ABB,Mar 2020,Negative FCF + CapEx,Positive FCF + CapEx,True
ABB,Mar 2020,Positive FCF + CapEx,Negative FCF + CapEx,True
ABB,Mar 2021,Negative FCF + CapEx,Positive FCF + CapEx,True
ABB,Mar 2021,Positive FCF + CapEx,Negative FCF + CapEx,True
ABB,Mar 2022,Negative FCF + CapEx,Positive FCF + CapEx,True
ABB,Mar 2023,Positive FCF + CapEx,Negative FCF + CapEx,True
ABB,Mar 2024,Negative FCF + CapEx,Positive FCF + CapEx,True
ADANIENSOL,Mar 2015,Negative FCF,Negative FCF + CapEx,True
ADANIENSOL,Mar 2016,Negative FCF + CapEx,Positive FCF + CapEx,True
ADANIENSOL,Mar 2018,Positive FCF + CapEx,Negative FCF + CapEx,True
ADANIENSOL,Mar 2022,Negative FCF + CapEx,Positive FCF + CapEx,True
ADANIENSOL,Mar 2023,Positive FCF + CapEx,Negative FCF + CapEx,True
ADANIENSOL,Mar 2024,Negative FCF + CapEx,Positive FCF + CapEx,True
ADANIENT,Mar 2014,Negative FCF + CapEx,Positive FCF + CapEx,True
ADANIENT,Mar 2015,Positive FCF + CapEx,Negative FCF + CapEx,True
ADANIENT,Mar 2016,Negative FCF + CapEx,Positive FCF + CapEx,True
ADANIENT,Mar 2017,Positive FCF + CapEx,Negative FCF + CapEx,True
ADANIENT,Mar 2019,Negative FCF + CapEx,Positive FCF + CapEx,True
ADANIENT,Mar 2021,Positive FCF + CapEx,Negative FCF + CapEx,True
ADANIENT,Mar 2023,Negative FCF + CapEx,Positive FCF + CapEx,True
ADANIENT,Mar 2024,Positive FCF + CapEx,Negative FCF + CapEx,True
ADANIGREEN,Mar 2023,Negative FCF + CapEx,Positive FCF + CapEx,True
ADANIGREEN,Mar 2024,Positive FCF + CapEx,Negative FCF + CapEx,True
ADANIPORTS,Mar 2015,Negative FCF + CapEx,Positive FCF + CapEx,True
ADANIPORTS,Mar 2016,Positive FCF + CapEx,Negative FCF + CapEx,True
ADANIPORTS,Mar 2017,Negative FCF + CapEx,Positive FCF + CapEx,True
ADANIPORTS,Mar 2021,Positive FCF + CapEx,Negative FCF + CapEx,True
ADANIPORTS,Mar 2022,Negative FCF + CapEx,Positive FCF + CapEx,True
ADANIPORTS,Mar 2023,Positive FCF + CapEx,Negative FCF + CapEx,True
ADANIPORTS,Mar 2024,Negative FCF + CapEx,Positive FCF + CapEx,True
ADANIPOWER,Mar 2015,Negative FCF + CapEx,Positive FCF + CapEx,True
AMBUJACEM,Dec 2016,Positive FCF + CapEx,Negative FCF + CapEx,True
AMBUJACEM,Dec 2017,Negative FCF + CapEx,Positive FCF + CapEx,True
AMBUJACEM,Mar 2024,Positive FCF + CapEx,Negative FCF + CapEx,True
APOLLOHOSP,Mar 2014,Negative FCF + CapEx,Positive FCF + CapEx,True
APOLLOHOSP,Mar 2015,Positive FCF + CapEx,Negative FCF + CapEx,True
APOLLOHOSP,Mar 2018,Negative FCF + CapEx,Positive FCF + CapEx,True
AXISBANK,Mar 2014,Negative FCF + CapEx,Positive FCF + CapEx,True
AXISBANK,Mar 2015,Positive FCF + CapEx,Negative FCF + CapEx,True
AXISBANK,Mar 2017,Negative FCF + CapEx,Positive FCF + CapEx,True
AXISBANK,Mar 2018,Positive FCF + CapEx,Negative FCF + CapEx,True
AXISBANK,Mar 2019,Negative FCF + CapEx,Positive FCF + CapEx,True
AXISBANK,Mar 2021,Positive FCF + CapEx,Negative FCF + CapEx,True
AXISBANK,Mar 2022,Negative FCF + CapEx,Positive FCF + CapEx,True
AXISBANK,Mar 2023,Positive FCF + CapEx,Negative FCF + CapEx,True
BAJAJ-AUTO,Mar 2017,Positive FCF + CapEx,Negative FCF + CapEx,True
BAJAJ-AUTO,Mar 2018,Negative FCF + CapEx,Positive FCF + CapEx,True
BAJAJFINSV,Mar 2021,Negative FCF + CapEx,Positive FCF + CapEx,True
BAJAJFINSV,Mar 2022,Positive FCF + CapEx,Negative FCF + CapEx,True
BAJAJHLDNG,Mar 2017,Positive FCF + CapEx,Negative FCF + CapEx,True
