company_id,company_name,year,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,company_roe_pct,roce_pct,pe_available,pb_available,ev_ebitda_available,pe_percentile,pb_percentile,ev_ebitda_percentile,pe_relative_band,pb_relative_band,ev_ebitda_relative_band
ABB,Abbott India Ltd,Mar 2024,1536236.24,1619349.16,75.58,4.48,12.63,0.96,34.9,46.0,True,True,True,95.55555555555556,25.555555555555554,13.333333333333334,Higher relative valuation,Lower relative valuation,Lower relative valuation
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2024,348517.36,439276.19,58.5,9.05,14.83,1.65,8.59,9.0,True,True,True,73.33333333333333,61.111111111111114,16.666666666666664,Higher relative valuation,Middle relative valuation,Lower relative valuation
ADANIENT,Adani Enterprises Ltd,Mar 2024,187927.97,191237.75,58.87,10.41,33.01,0.83,13.64,11.6,True,True,True,74.44444444444444,78.88888888888889,81.11111111111111,Higher relative valuation,Higher relative valuation,Higher relative valuation
ADANIGREEN,Adani Green Energy Ltd,Mar 2024,510512.78,491878.9,45.26,6.24,21.78,0.89,14.7,96.5,True,True,True,48.888888888888886,41.11111111111111,40.0,Middle relative valuation,Middle relative valuation,Middle relative valuation
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Mar 2024,675598.01,611165.74,48.9,2.31,31.76,1.16,18.1,12.9,True,True,True,56.666666666666664,6.666666666666667,77.77777777777779,Middle relative valuation,Lower relative valuation,Higher relative valuation
ADANIPOWER,Adani Power Ltd,Mar 2024,1372183.55,1357949.64,44.57,9.91,24.76,1.65,57.1,32.2,True,True,True,47.77777777777778,73.88888888888889,52.22222222222223,Middle relative valuation,Higher relative valuation,Middle relative valuation
AMBUJACEM,Ambuja Cements Ltd,Mar 2024,1281411.04,1198290.68,55.62,9.21,27.67,3.1,9.24,12.8,True,True,True,67.77777777777779,62.22222222222222,63.33333333333333,Higher relative valuation,Middle relative valuation,Middle relative valuation
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Mar 2024,1905622.43,2433382.94,47.72,7.68,16.74,3.22,13.81,17.2,True,True,True,54.44444444444444,51.11111111111111,27.77777777777778,Middle relative valuation,Middle relative valuation,Lower relative valuation
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Mar 2024,2126725.18,2475080.63,73.37,3.9,23.94,2.42,31.45,41.75,True,True,True,94.44444444444444,16.666666666666664,47.77777777777778,Higher relative valuation,Lower relative valuation,Middle relative valuation
AXISBANK,Axis Bank Ltd,Mar 2024,948868.63,929130.29,38.14,4.66,16.87,2.32,18.4,7.06,True,True,True,46.666666666666664,27.77777777777778,28.888888888888886,Middle relative valuation,Lower relative valuation,Lower relative valuation
BAJAJ-AUTO,Bajaj Auto Ltd,Mar 2024,653817.3,679803.97,29.91,9.83,20.14,3.59,26.5,33.5,True,True,True,26.666666666666668,71.11111111111111,34.44444444444444,Lower relative valuation,Higher relative valuation,Middle relative valuation
BAJAJFINSV,Bajaj Finserv Ltd,Mar 2024,1905112.17,1807796.2,15.07,6.08,39.72,2.56,11.72,21.14,True,True,True,10.0,38.333333333333336,100.0,Lower relative valuation,Middle relative valuation,Higher relative valuation
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Mar 2024,2191568.13,2726439.01,37.73,9.38,27.47,3.37,14.8,13.1,True,True,True,44.44444444444444,67.77777777777779,61.111111111111114,Middle relative valuation,Higher relative valuation,Middle relative valuation
BAJFINANCE,Bajaj Finance Ltd,Mar 2024,2473271.58,2632574.41,69.2,4.11,15.96,0.27,22.1,11.9,True,True,True,86.66666666666667,18.88888888888889,23.333333333333332,Higher relative valuation,Lower relative valuation,Lower relative valuation
BANKBARODA,Bank of Baroda,Mar 2024,590971.02,656699.32,16.89,4.15,24.7,2.62,16.7,6.33,True,True,True,13.333333333333334,20.0,51.11111111111111,Lower relative valuation,Lower relative valuation,Middle relative valuation
BEL,Bharat Electronics Ltd,Mar 2024,1354781.06,1259877.04,17.89,9.22,23.14,0.76,26.3,34.6,True,True,True,14.444444444444443,63.33333333333333,44.44444444444444,Lower relative valuation,Middle relative valuation,Middle relative valuation
BHARTIARTL,Bharti Airtel Ltd,Mar 2024,378605.83,429972.49,63.78,6.28,39.71,1.02,14.9,13.1,True,True,True,78.88888888888889,42.22222222222222,98.88888888888889,Higher relative valuation,Middle relative valuation,Higher relative valuation
BHEL,"Bharat Heavy Electricals Limited
",Mar 2024,540053.85,682460.17,29.8,11.43,21.59,4.04,1.05,3.28,True,True,True,25.555555555555554,83.33333333333334,38.88888888888889,Lower relative valuation,Higher relative valuation,Middle relative valuation
BOSCHLTD,Bosch Ltd,Mar 2024,2599556.05,2628370.51,58.43,6.47,16.07,4.23,16.0,20.6,True,True,True,72.22222222222221,44.44444444444444,24.444444444444443,Higher relative valuation,Middle relative valuation,Lower relative valuation
BPCL,Bharat Petroleum Corporation Ltd,Mar 2024,468662.13,606487.07,68.15,0.72,26.59,1.15,41.9,32.1,True,True,True,84.44444444444444,1.1111111111111112,60.0,Higher relative valuation,Lower relative valuation,Middle relative valuation
BRITANNIA,Britannia Industries Ltd,Mar 2024,324745.74,376568.58,63.91,4.26,33.95,1.88,57.1,48.9,True,True,True,80.0,22.22222222222222,86.66666666666667,Higher relative valuation,Lower relative valuation,Higher relative valuation
CANBK,Canara Bank,Mar 2024,496415.88,483983.21,36.74,12.61,25.23,3.81,17.9,6.63,True,True,True,43.333333333333336,92.22222222222223,56.666666666666664,Middle relative valuation,Higher relative valuation,Middle relative valuation
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Mar 2024,971931.96,1024979.49,16.79,10.36,13.52,2.83,20.2,10.4,True,True,True,12.222222222222221,77.22222222222223,14.444444444444443,Lower relative valuation,Higher relative valuation,Lower relative valuation
CIPLA,"Cipla Ltd
",Mar 2024,439803.15,562931.78,59.75,5.93,33.7,0.12,16.8,22.8,True,True,True,75.55555555555556,36.666666666666664,84.44444444444444,Higher relative valuation,Middle relative valuation,Higher relative valuation
COALINDIA,Coal India Ltd,Mar 2024,454024.84,574785.39,34.27,14.75,25.15,4.38,52.0,63.6,True,True,True,37.77777777777778,100.0,55.55555555555556,Middle relative valuation,Higher relative valuation,Middle relative valuation
