amfi_code,return_3yr_pct,expense_ratio_pct,Sharpe_Ratio,Alpha,Beta,Maximum_Drawdown,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,return_score,sharpe_score,alpha_score,expense_score,drawdown_score,Fund_Score
120505,18.08,1.36,1.1801011976606495,0.2926358334175106,0.0005490042506317,-0.18188513572116294,8.0,5.0,3.0,15.0,25.0,82.05128205128204,89.74358974358975,94.87179487179486,64.1025641025641,38.46153846153847,79.48717948717947
120843,15.65,1.45,1.3067439695428413,0.2733046503830605,-0.0228295697924265,-0.1297396816518679,11.0,2.0,5.0,22.0,13.0,74.35897435897436,97.43589743589743,89.74358974358975,46.15384615384615,69.23076923076923,78.46153846153847
100033,16.58,1.38,1.093698743534631,0.2719535450128533,0.0051035258305283,-0.16217208574644848,10.0,7.0,6.0,17.0,20.0,76.92307692307693,84.61538461538461,87.17948717948718,58.97435897435898,51.28205128205128,75.64102564102565
119598,23.39,1.43,0.9453082575156093,0.3033696538698332,-0.0231960620440596,-0.2870600572176455,1.0,14.0,1.0,21.0,36.0,100.0,66.66666666666666,100.0,48.717948717948715,10.256410256410255,74.99999999999999
148567,14.81,1.46,1.4482911703262604,0.2698375144191807,0.0236835580758486,-0.11265729075028275,17.0,1.0,7.0,23.0,8.0,58.97435897435898,100.0,84.61538461538461,43.58974358974359,82.05128205128204,74.35897435897435
149324,20.08,1.52,0.949795824661604,0.3005787817097677,0.0114551599605207,-0.31171900300634214,6.0,13.0,2.0,26.5,37.0,87.17948717948718,69.23076923076923,97.43589743589743,34.61538461538461,7.6923076923076925,68.91025641025641
149323,17.16,1.61,1.1321218524747252,0.2659857754204304,-0.0025230046646992,-0.17248105753451382,9.0,6.0,8.0,38.0,22.0,79.48717948717949,87.17948717948718,82.05128205128204,5.128205128205128,46.15384615384615,67.43589743589743
120504,14.41,0.8,1.0265242847993006,0.2119482701352573,0.016232169761417,-0.12588275606922517,20.0,10.0,13.0,12.0,12.0,51.28205128205128,76.92307692307693,69.23076923076923,71.7948717948718,71.7948717948718,66.41025641025641
119094,15.18,1.38,0.9982309868636403,0.2607666908004223,-0.0662654286280375,-0.20960883862039192,15.0,11.0,9.0,17.0,28.0,64.1025641025641,74.35897435897436,79.48717948717949,58.97435897435898,30.76923076923077,65.64102564102564
148569,13.58,1.6,1.2349300257743292,0.2827036785246582,0.0181338840838592,-0.1639674294693263,23.0,3.0,4.0,36.5,21.0,43.58974358974359,94.87179487179486,92.3076923076923,8.974358974358974,48.717948717948715,61.47435897435898
118632,14.0,1.51,1.0816591793457038,0.2182939790460864,-0.008353832126962,-0.17414075086657232,21.0,8.0,11.0,24.5,23.0,48.717948717948715,82.05128205128204,74.35897435897436,39.743589743589745,43.58974358974359,60.32051282051282
119551,12.36,1.54,1.2082665673727178,0.2320100716063508,-0.0317514411389097,-0.1501238549864533,26.0,4.0,10.0,30.5,17.0,35.8974358974359,92.3076923076923,76.92307692307693,24.358974358974358,58.97435897435898,58.782051282051285
101206,13.78,1.6,1.0272133278753697,0.2139978477605121,0.021086316250128,-0.11291596329323073,22.0,9.0,12.0,36.5,9.0,46.15384615384615,79.48717948717949,71.7948717948718,8.974358974358974,79.48717948717949,57.37179487179487
119552,11.3,0.66,0.953279496866011,0.1986859936686296,-0.0261593075135134,-0.11803493502764295,34.0,12.0,15.0,4.0,11.0,15.384615384615385,71.7948717948718,64.1025641025641,92.3076923076923,74.35897435897436,56.66666666666667
148568,14.56,1.52,0.9262873467360141,0.2087301008694233,-0.026387719943843,-0.1527259422823477,19.0,15.0,14.0,26.5,19.0,53.84615384615385,64.1025641025641,66.66666666666666,34.61538461538461,53.84615384615385,56.08974358974359
125497,13.38,0.92,0.7757902498211205,0.1772975492753176,0.0488204042595773,-0.15200013055606398,24.0,18.0,16.0,14.0,18.0,41.02564102564102,56.41025641025641,61.53846153846154,66.66666666666666,56.41025641025641,54.35897435897436
118634,20.15,1.53,0.4484340089089915,0.1750072167561127,0.1034966369133759,-0.2334488614483311,5.0,26.0,18.0,28.5,32.0,89.74358974358975,35.8974358974359,56.41025641025641,29.48717948717949,20.51282051282051,53.65384615384615
120506,14.76,1.41,0.6488787755249528,0.1625385327998104,0.0418964627281197,-0.1982565826298267,18.0,20.0,20.0,19.0,27.0,56.41025641025641,51.28205128205128,51.28205128205128,53.84615384615385,33.33333333333333,51.410256410256416
125498,15.29,0.78,0.3006119210425479,0.1198910097121797,0.0090544126217391,-0.21117279560132118,14.0,27.0,26.0,10.0,29.0,66.66666666666666,33.33333333333333,35.8974358974359,76.92307692307693,28.205128205128204,49.87179487179487
119599,23.14,0.72,-0.05718662582817995,0.0488242159455398,0.0620018043826716,-0.5257422117012851,2.0,32.0,36.0,5.5,40.0,97.43589743589743,20.51282051282051,10.256410256410255,88.46153846153845,0.0,49.67948717948717
118633,12.33,0.72,0.6452074382933218,0.1564383594816966,-0.0366390067186093,-0.18629743138595511,27.0,21.0,22.0,5.5,26.0,33.33333333333333,48.717948717948715,46.15384615384615,88.46153846153845,35.8974358974359,48.26923076923077
101207,22.38,1.53,0.16266076928646786,0.1089709190170453,-0.0652892478835152,-0.3544691649336603,3.0,28.0,27.0,28.5,38.0,94.87179487179486,30.76923076923077,33.33333333333333,29.48717948717949,5.128205128205128,47.75641025641025
118635,11.77,0.89,0.6648569985490621,0.1513635464823924,-0.0014335213897801,-0.1165062450540909,32.0,19.0,23.0,13.0,10.0,20.51282051282051,53.84615384615385,43.58974358974359,69.23076923076923,76.92307692307693,46.41025641025641
120503,11.54,1.42,0.7979728586052844,0.1770330236584407,-0.0402689523698206,-0.13897862823061635,33.0,17.0,17.0,20.0,14.0,17.94871794871795,58.97435897435898,58.97435897435898,51.28205128205128,66.66666666666666,46.28205128205128
102887,15.34,1.64,0.6195175900829826,0.1621125679403325,0.0166826894377708,-0.21539827112383225,13.0,22.0,21.0,39.5,30.0,69.23076923076923,46.15384615384615,48.717948717948715,1.282051282051282,25.64102564102564,44.80769230769231
102885,12.1,1.57,0.817099337349437,0.1704875680341269,-0.0194867856894745,-0.1085986215250232,30.0,16.0,19.0,34.0,7.0,25.64102564102564,61.53846153846154,53.84615384615385,15.384615384615385,84.61538461538461,44.61538461538461
119095,20.98,1.38,-0.07597357117478923,0.0480159536377595,-0.066951174639292,-0.5167775370852656,4.0,33.0,37.0,17.0,39.0,92.3076923076923,17.94871794871795,7.6923076923076925,58.97435897435898,2.564102564102564,42.82051282051282
120507,7.68,0.74,0.495723392953312,0.0674621041109953,-0.0004440926329707,-0.0009773140045925555,35.0,23.0,31.0,7.0,1.0,12.82051282051282,43.58974358974359,23.076923076923077,84.61538461538461,100.0,42.05128205128205
120842,18.23,1.56,0.07599984804658923,0.0780443887615508,0.0180568742081181,-0.24003511326274884,7.0,30.0,29.0,33.0,33.0,84.61538461538461,25.64102564102564,28.205128205128204,17.94871794871795,17.94871794871795,41.92307692307692
149322,12.82,1.54,0.46403744922047735,0.1317319022609943,-0.0040502711300065,-0.14844576917771746,25.0,25.0,24.0,30.5,16.0,38.46153846153847,38.46153846153847,41.02564102564102,24.358974358974358,61.53846153846154,39.166666666666664
119093,12.14,0.75,0.12961449795669325,0.0823280129522209,0.0258832124400931,-0.21751396370148224,29.0,29.0,28.0,8.0,31.0,28.205128205128204,28.205128205128204,30.76923076923077,82.05128205128204,23.076923076923077,36.282051282051285
120844,6.18,0.6,-0.08874729621557288,0.0645567749537599,-0.0004007442394784,-0.0011629327956168556,37.0,34.0,32.0,3.0,2.0,7.6923076923076925,15.384615384615385,20.51282051282051,94.87179487179486,97.43589743589743,34.230769230769226
120841,12.25,1.59,0.4942725378672348,0.1304292445070544,0.0363563990221997,-0.1757361416468729,28.0,24.0,25.0,35.0,24.0,30.76923076923077,41.02564102564102,38.46153846153847,12.82051282051282,41.02564102564102,33.205128205128204
102886,15.61,1.51,-0.2058316078547031,0.0289693978663794,-0.0421250290218943,-0.2800112356639287,12.0,36.0,40.0,24.5,35.0,71.7948717948718,10.256410256410255,0.0,39.743589743589745,12.82051282051282,31.346153846153843
100025,7.37,0.56,-0.5670947928476846,0.0428179203150608,0.0011582183155281,-0.04308263824636349,36.0,39.0,38.0,2.0,4.0,10.256410256410255,2.564102564102564,5.128205128205128,97.43589743589743,92.3076923076923,28.58974358974359
118636,5.31,0.55,-0.35662950751436784,0.050747729999761,0.0012566742731558,-0.08316361763638702,39.0,38.0,35.0,1.0,6.0,2.564102564102564,5.128205128205128,12.82051282051282,100.0,87.17948717948718,28.333333333333332
119120,6.07,0.77,-0.22657538662791568,0.0562089521663836,-0.0064138507282764,-0.04328728923970093,38.0,37.0,34.0,9.0,5.0,5.128205128205128,7.6923076923076925,15.384615384615385,79.48717948717949,89.74358974358975,27.435897435897438
